map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 76387 (127, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1229.954468, down = 10000000000.000000
  Cell 76386 (126, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1272.238892, down = 10000000000.000000
  Cell 70181 (121, 226): pot = 10000000000.000000, left = 1721.531250, right = 1387.148315, up = 1455.531250, down = 1588.025879
  Cell 76074 (124, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 1317.249756, up = 1535.362183, down = 10000000000.000000
  Cell 76385 (125, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1317.249756, down = 10000000000.000000
  Cell 69867 (117, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 1771.531250, up = 1736.206787, down = 10000000000.000000
  Cell 69558 (118, 224): pot = 10000000000.000000, left = 1736.206787, right = 1568.551392, up = 1636.206787, down = 1771.531250
  Cell 69230 (100, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2486.206787, up = 10000000000.000000, down = 2613.280029
  Cell 68921 (101, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2645.842285, up = 10000000000.000000, down = 2486.206787
  Cell 69541 (101, 224): pot = 10000000000.000000, left = 2613.280029, right = 2445.112305, up = 2486.206787, down = 2513.280029
  Cell 70474 (104, 227): pot = 10000000000.000000, left = 2504.197021, right = 10000000000.000000, up = 2421.180664, down = 10000000000.000000
  Cell 70783 (103, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2504.197021, down = 10000000000.000000
  Cell 70782 (102, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2534.041504, down = 10000000000.000000
  Cell 70781 (101, 228): pot = 10000000000.000000, left = 2662.121826, right = 10000000000.000000, up = 2571.079834, down = 10000000000.000000
  Cell 69847 (97, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2663.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69538 (98, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2648.479980, up = 10000000000.000000, down = 2663.280029
  Cell 70158 (98, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2630.352295, up = 2663.280029, down = 2705.467285
  Cell 69229 (99, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 2648.479980
  Cell 71090 (100, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2662.121826, down = 10000000000.000000
  Cell 71089 (99, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2693.995117, down = 10000000000.000000
  Cell 70466 (96, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2755.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70157 (97, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 2755.467285
  Cell 70777 (97, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2734.677734, up = 2755.467285, down = 10000000000.000000
  Cell 71088 (98, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2734.677734, down = 10000000000.000000

Cycle 67: curT = 3455.612549, curPe = 73, nc = 685, nwv = 76
  Cell 72071 (151, 232): pot = 202.357941, left = 162.446335, right = 10000000000.000000, up = 10000000000.000000, down = 172.139114
  Cell 73311 (151, 236): pot = 202.357941, left = 162.446335, right = 10000000000.000000, up = 172.139114, down = 10000000000.000000
  Cell 72072 (152, 232): pot = 10000000000.000000, left = 202.357941, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 71761 (151, 231): pot = 10000000000.000000, left = 202.357941, right = 10000000000.000000, up = 10000000000.000000, down = 202.357941
  Cell 71450 (150, 230): pot = 244.945526, left = 218.552673, right = 10000000000.000000, up = 10000000000.000000, down = 202.357941
  Cell 73930 (150, 238): pot = 244.945526, left = 218.552673, right = 10000000000.000000, up = 202.357941, down = 10000000000.000000
  Cell 71451 (151, 230): pot = 10000000000.000000, left = 244.945526, right = 10000000000.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 71140 (150, 229): pot = 10000000000.000000, left = 265.890686, right = 10000000000.000000, up = 10000000000.000000, down = 244.945526
  Cell 70829 (149, 228): pot = 313.838318, left = 300.000000, right = 10000000000.000000, up = 10000000000.000000, down = 265.890686
  Cell 74549 (149, 240): pot = 10000000000.000000, left = 300.000000, right = 10000000000.000000, up = 265.890686, down = 10000000000.000000
  Cell 74858 (148, 241): pot = 10000000000.000000, left = 365.890686, right = 10000000000.000000, up = 300.000000, down = 10000000000.000000
  Cell 70207 (147, 226): pot = 10000000000.000000, left = 434.711304, right = 10000000000.000000, up = 10000000000.000000, down = 362.211426
  Cell 74856 (146, 241): pot = 382.440369, left = 410.803497, right = 365.890686, up = 335.316498, down = 10000000000.000000
  Cell 75167 (147, 242): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 365.890686, down = 10000000000.000000
  Cell 75166 (146, 242): pot = 10000000000.000000, left = 460.803497, right = 10000000000.000000, up = 382.440369, down = 10000000000.000000
  Cell 70205 (145, 226): pot = 452.574402, left = 482.614594, right = 434.711304, up = 10000000000.000000, down = 405.905884
  Cell 69896 (146, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 434.711304
  Cell 69895 (145, 225): pot = 10000000000.000000, left = 532.614624, right = 10000000000.000000, up = 10000000000.000000, down = 452.574402
  Cell 75164 (144, 242): pot = 480.446960, left = 513.636353, right = 460.803497, up = 434.460205, down = 10000000000.000000
  Cell 75475 (145, 243): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 460.803497, down = 10000000000.000000
  Cell 75474 (144, 243): pot = 10000000000.000000, left = 563.636353, right = 10000000000.000000, up = 480.446960, down = 10000000000.000000
  Cell 69893 (143, 225): pot = 552.573608, left = 586.181152, right = 532.614624, up = 10000000000.000000, down = 506.715912
  Cell 69584 (144, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 532.614624
  Cell 69583 (143, 224): pot = 10000000000.000000, left = 636.181152, right = 10000000000.000000, up = 10000000000.000000, down = 552.573608
  Cell 75471 (141, 243): pot = 612.137695, left = 654.480530, right = 584.614502, up = 570.273376, down = 10000000000.000000
  Cell 75782 (142, 244): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 584.614502, down = 10000000000.000000
  Cell 75781 (141, 244): pot = 10000000000.000000, left = 704.480530, right = 10000000000.000000, up = 612.137695, down = 10000000000.000000
  Cell 69580 (140, 224): pot = 684.724182, left = 726.943726, right = 657.202332, up = 10000000000.000000, down = 642.858948
  Cell 69271 (141, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 657.202332
  Cell 69270 (140, 223): pot = 10000000000.000000, left = 776.943726, right = 10000000000.000000, up = 10000000000.000000, down = 684.724182
  Cell 75778 (138, 244): pot = 756.624939, left = 789.943359, right = 727.149170, up = 716.140259, down = 10000000000.000000
  Cell 76089 (139, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 727.149170, down = 10000000000.000000
  Cell 75777 (137, 244): pot = 789.943359, left = 841.364075, right = 756.624939, up = 752.761902, down = 10000000000.000000
  Cell 76088 (138, 245): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 756.624939, down = 10000000000.000000
  Cell 76087 (137, 245): pot = 10000000000.000000, left = 891.364075, right = 10000000000.000000, up = 789.943359, down = 10000000000.000000
  Cell 69267 (137, 223): pot = 828.859131, left = 861.988403, right = 799.519897, up = 10000000000.000000, down = 788.272156
  Cell 68958 (138, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 799.519897
  Cell 69266 (136, 223): pot = 861.988403, left = 912.924194, right = 828.859131, up = 10000000000.000000, down = 824.622803
  Cell 68957 (137, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 828.859131
  Cell 68956 (136, 222): pot = 10000000000.000000, left = 1128.924194, right = 10000000000.000000, up = 10000000000.000000, down = 861.988403
  Cell 76084 (134, 245): pot = 946.347534, left = 981.276001, right = 915.351562, up = 907.066589, down = 10000000000.000000
  Cell 76395 (135, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 915.351562, down = 10000000000.000000
  Cell 76083 (133, 245): pot = 981.276001, left = 1018.965881, right = 946.347534, up = 945.772156, down = 10000000000.000000
  Cell 76394 (134, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 946.347534, down = 10000000000.000000
  Cell 76082 (132, 245): pot = 1018.965881, left = 1058.450806, right = 981.276001, up = 986.175842, down = 10000000000.000000
  Cell 76393 (133, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 981.276001, down = 10000000000.000000
  Cell 76081 (131, 245): pot = 1058.450806, left = 1120.050659, right = 1018.965881, up = 1027.701660, down = 10000000000.000000
  Cell 76392 (132, 246): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1018.965881, down = 10000000000.000000
  Cell 76391 (131, 246): pot = 10000000000.000000, left = 1170.050659, right = 10000000000.000000, up = 1058.450806, down = 10000000000.000000
  Cell 76387 (127, 246): pot = 1263.966064, left = 1303.241455, right = 1227.482178, up = 1229.954468, down = 10000000000.000000
  Cell 76698 (128, 247): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1227.482178, down = 10000000000.000000
  Cell 76386 (126, 246): pot = 1303.241455, left = 1344.972656, right = 1263.966064, up = 1272.238892, down = 10000000000.000000
  Cell 76697 (127, 247): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1263.966064, down = 10000000000.000000
  Cell 76385 (125, 246): pot = 1344.972656, left = 10000000000.000000, right = 1303.241455, up = 1317.249756, down = 10000000000.000000
  Cell 76696 (126, 247): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1303.241455, down = 10000000000.000000
  Cell 76695 (125, 247): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1344.972656, down = 10000000000.000000
  Cell 69229 (99, 223): pot = 2586.206787, left = 10000000000.000000, right = 2536.206787, up = 10000000000.000000, down = 2648.479980
  Cell 68920 (100, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2695.842285, up = 10000000000.000000, down = 2536.206787
  Cell 71091 (101, 229): pot = 10000000000.000000, left = 2712.121826, right = 10000000000.000000, up = 2621.079834, down = 10000000000.000000
  Cell 69846 (96, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2713.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69537 (97, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2690.526367, up = 10000000000.000000, down = 2713.280029
  Cell 70157 (97, 226): pot = 2726.224854, left = 10000000000.000000, right = 2678.037354, up = 2713.280029, down = 2755.467285
  Cell 69228 (98, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2586.206787, up = 10000000000.000000, down = 2690.526367
  Cell 68919 (99, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 2586.206787
  Cell 71089 (99, 229): pot = 2737.302734, left = 2771.239014, right = 2712.121826, up = 2693.995117, down = 10000000000.000000
  Cell 71400 (100, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2712.121826, down = 10000000000.000000
  Cell 71088 (98, 229): pot = 2771.239014, left = 10000000000.000000, right = 2737.302734, up = 2734.677734, down = 10000000000.000000
  Cell 71399 (99, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2737.302734, down = 10000000000.000000
  Cell 70465 (95, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2805.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70156 (96, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2726.224854, up = 10000000000.000000, down = 2805.467285
  Cell 70776 (96, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2778.921631, up = 2805.467285, down = 10000000000.000000
  Cell 71087 (97, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2771.239014, up = 2778.921631, down = 10000000000.000000
  Cell 71398 (98, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2771.239014, down = 10000000000.000000

Cycle 68: curT = 3455.612549, curPe = 14, nc = 758, nwv = 76
  Cell 76701 (131, 247): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 1092.023682, down = 10000000000.000000
  Cell 69845 (95, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2763.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69536 (96, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2735.419189, up = 10000000000.000000, down = 2763.280029
  Cell 70156 (96, 226): pot = 2774.770996, left = 10000000000.000000, right = 2726.224854, up = 2763.280029, down = 2805.467285
  Cell 69227 (97, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2636.206787, up = 10000000000.000000, down = 2735.419189
  Cell 68918 (98, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2795.842285, up = 10000000000.000000, down = 2636.206787
  Cell 71398 (98, 230): pot = 2811.976074, left = 10000000000.000000, right = 2782.839355, up = 2771.239014, down = 10000000000.000000
  Cell 71709 (99, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2782.839355, down = 10000000000.000000
  Cell 70464 (94, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2855.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70155 (95, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2774.770996, up = 10000000000.000000, down = 2855.467285
  Cell 70775 (95, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2824.966553, up = 2855.467285, down = 10000000000.000000
  Cell 71086 (96, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2810.244629, up = 2824.966553, down = 10000000000.000000
  Cell 71397 (97, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 2811.976074, up = 2810.244629, down = 10000000000.000000
  Cell 71708 (98, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2811.976074, down = 10000000000.000000

Cycle 69: curT = 3455.612549, curPe = 11, nc = 772, nwv = 76
  Cell 69844 (94, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2813.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69535 (95, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2781.832764, up = 10000000000.000000, down = 2813.280029
  Cell 70155 (95, 226): pot = 2823.583252, left = 10000000000.000000, right = 2774.770996, up = 2813.280029, down = 2855.467285
  Cell 69226 (96, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2686.206787, up = 10000000000.000000, down = 2781.832764
  Cell 68917 (97, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2845.842285, up = 10000000000.000000, down = 2686.206787
  Cell 70463 (93, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2905.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70154 (94, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2823.583252, up = 10000000000.000000, down = 2905.467285
  Cell 70774 (94, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2872.072021, up = 2905.467285, down = 10000000000.000000
  Cell 71085 (95, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2852.260254, up = 2872.072021, down = 10000000000.000000
  Cell 71396 (96, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 2846.349609, up = 2852.260254, down = 10000000000.000000
  Cell 71707 (97, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 2856.245117, up = 2846.349609, down = 10000000000.000000

Cycle 70: curT = 3455.612549, curPe = 12, nc = 783, nwv = 76
  Cell 69843 (93, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2863.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69534 (94, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2829.170654, up = 10000000000.000000, down = 2863.280029
  Cell 70154 (94, 226): pot = 2872.598389, left = 10000000000.000000, right = 2823.583252, up = 2863.280029, down = 2905.467285
  Cell 69225 (95, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2736.206787, up = 10000000000.000000, down = 2829.170654
  Cell 68916 (96, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2895.842285, up = 10000000000.000000, down = 2736.206787
  Cell 70462 (92, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 2955.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70153 (93, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2872.598389, up = 10000000000.000000, down = 2955.467285
  Cell 70773 (93, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2919.862549, up = 2955.467285, down = 10000000000.000000
  Cell 71084 (94, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2896.167969, up = 2919.862549, down = 10000000000.000000
  Cell 71395 (95, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 2884.525635, up = 2896.167969, down = 10000000000.000000
  Cell 71706 (96, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 2886.350586, up = 2884.525635, down = 10000000000.000000
  Cell 72017 (97, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2886.350586, down = 10000000000.000000

Cycle 71: curT = 3455.612549, curPe = 12, nc = 795, nwv = 76
  Cell 69842 (92, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2913.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69533 (93, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2877.118408, up = 10000000000.000000, down = 2913.280029
  Cell 70153 (93, 226): pot = 2921.771729, left = 10000000000.000000, right = 2872.598389, up = 2913.280029, down = 2955.467285
  Cell 69224 (94, 223): pot = 10000000000.000000, left = 10000000000.000000, right = 2786.206787, up = 10000000000.000000, down = 2877.118408
  Cell 68915 (95, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2945.842285, up = 10000000000.000000, down = 2786.206787
  Cell 70461 (91, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 3005.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70152 (92, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2921.771729, up = 10000000000.000000, down = 3005.467285
  Cell 70772 (92, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 2968.124023, up = 3005.467285, down = 10000000000.000000
  Cell 71083 (93, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2941.358887, up = 2968.124023, down = 10000000000.000000
  Cell 71394 (94, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 2925.280518, up = 2941.358887, down = 10000000000.000000
  Cell 71705 (95, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 2920.678711, up = 2925.280518, down = 10000000000.000000
  Cell 72016 (96, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 2936.350586, up = 2920.678711, down = 10000000000.000000

Cycle 72: curT = 3455.612549, curPe = 11, nc = 807, nwv = 76
  Cell 69841 (91, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 2963.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69532 (92, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2925.491455, up = 10000000000.000000, down = 2963.280029
  Cell 70152 (92, 226): pot = 2971.071289, left = 10000000000.000000, right = 2921.771729, up = 2963.280029, down = 3005.467285
  Cell 68914 (94, 222): pot = 10000000000.000000, left = 10000000000.000000, right = 2995.842285, up = 10000000000.000000, down = 2836.206787
  Cell 70460 (90, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 3055.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70151 (91, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 2971.071289, up = 10000000000.000000, down = 3055.467285
  Cell 70771 (91, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 3016.724609, up = 3055.467285, down = 10000000000.000000
  Cell 71082 (92, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 2987.466309, up = 3016.724609, down = 10000000000.000000
  Cell 71393 (93, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 2967.823730, up = 2987.466309, down = 10000000000.000000
  Cell 71704 (94, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 2958.223389, up = 2967.823730, down = 10000000000.000000
  Cell 72015 (95, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 2963.065430, up = 2958.223389, down = 10000000000.000000

Cycle 73: curT = 3455.612549, curPe = 11, nc = 818, nwv = 76
  Cell 69840 (90, 225): pot = 10000000000.000000, left = 10000000000.000000, right = 3013.280029, up = 10000000000.000000, down = 10000000000.000000
  Cell 69531 (91, 224): pot = 10000000000.000000, left = 10000000000.000000, right = 2974.174316, up = 10000000000.000000, down = 3013.280029
  Cell 70151 (91, 226): pot = 3020.472656, left = 10000000000.000000, right = 2971.071289, up = 3013.280029, down = 3055.467285
  Cell 70459 (89, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 3105.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70150 (90, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 3020.472656, up = 10000000000.000000, down = 3105.467285
  Cell 70770 (90, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 3065.577881, up = 3105.467285, down = 10000000000.000000
  Cell 71081 (91, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3034.254150, up = 3065.577881, down = 10000000000.000000
  Cell 71392 (92, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3011.672363, up = 3034.254150, down = 10000000000.000000
  Cell 71703 (93, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 2998.094238, up = 3011.672363, down = 10000000000.000000
  Cell 72014 (94, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 2995.885254, up = 2998.094238, down = 10000000000.000000
  Cell 72325 (95, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 2995.885254, down = 10000000000.000000

Cycle 74: curT = 3455.612549, curPe = 8, nc = 829, nwv = 76
  Cell 70458 (88, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 3155.467285, up = 10000000000.000000, down = 10000000000.000000
  Cell 70149 (89, 226): pot = 10000000000.000000, left = 10000000000.000000, right = 3069.957520, up = 10000000000.000000, down = 3155.467285
  Cell 70769 (89, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 3114.624756, up = 3155.467285, down = 10000000000.000000
  Cell 71080 (90, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3081.562256, up = 3114.624756, down = 10000000000.000000
  Cell 71391 (91, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3056.509766, up = 3081.562256, down = 10000000000.000000
  Cell 71702 (92, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3039.651611, up = 3056.509766, down = 10000000000.000000
  Cell 72013 (93, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3032.235107, up = 3039.651611, down = 10000000000.000000
  Cell 72324 (94, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3045.885254, up = 3032.235107, down = 10000000000.000000

Cycle 75: curT = 3455.612549, curPe = 5, nc = 837, nwv = 76
  Cell 71079 (89, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3129.277832, up = 3163.823242, down = 10000000000.000000
  Cell 71390 (90, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3102.116699, up = 3129.277832, down = 10000000000.000000
  Cell 71701 (91, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3082.490234, up = 3102.116699, down = 10000000000.000000
  Cell 72012 (92, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3071.117920, up = 3082.490234, down = 10000000000.000000
  Cell 72323 (93, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3073.821777, up = 3071.117920, down = 10000000000.000000

Cycle 76: curT = 3455.612549, curPe = 5, nc = 842, nwv = 76
  Cell 71078 (88, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3177.319092, up = 10000000000.000000, down = 10000000000.000000
  Cell 71389 (89, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3148.336182, up = 3177.319092, down = 10000000000.000000
  Cell 71700 (90, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3126.333252, up = 3148.336182, down = 10000000000.000000
  Cell 72011 (91, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3111.758057, up = 3126.333252, down = 10000000000.000000
  Cell 72322 (92, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3107.719238, up = 3111.758057, down = 10000000000.000000

Cycle 77: curT = 3455.612549, curPe = 6, nc = 847, nwv = 76
  Cell 71077 (87, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3227.319092, up = 10000000000.000000, down = 10000000000.000000
  Cell 71388 (88, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3195.051758, up = 3227.319092, down = 10000000000.000000
  Cell 71699 (89, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3170.982178, up = 3195.051758, down = 10000000000.000000
  Cell 72010 (90, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3153.715576, up = 3170.982178, down = 10000000000.000000
  Cell 72321 (91, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3144.987549, up = 3153.715576, down = 10000000000.000000
  Cell 72632 (92, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 3144.987549, down = 10000000000.000000

Cycle 78: curT = 3455.612549, curPe = 7, nc = 853, nwv = 76
  Cell 71076 (86, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 3277.319092, up = 10000000000.000000, down = 10000000000.000000
  Cell 70767 (87, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 3277.319092
  Cell 71387 (87, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 3242.584473, up = 3277.319092, down = 10000000000.000000
  Cell 71698 (88, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3216.289795, up = 3242.584473, down = 10000000000.000000
  Cell 72009 (89, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3196.707031, up = 3216.289795, down = 10000000000.000000
  Cell 72320 (90, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3184.468994, up = 3196.707031, down = 10000000000.000000
  Cell 72631 (91, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 3194.987549, up = 3184.468994, down = 10000000000.000000

Cycle 79: curT = 3455.612549, curPe = 4, nc = 860, nwv = 76
  Cell 71697 (87, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3262.262451, up = 3290.665771, down = 10000000000.000000
  Cell 72008 (88, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3240.534912, up = 3262.262451, down = 10000000000.000000
  Cell 72319 (89, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 3225.474365, up = 3240.534912, down = 10000000000.000000
  Cell 72630 (90, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 3224.741943, up = 3225.474365, down = 10000000000.000000

Cycle 80: curT = 3455.612549, curPe = 4, nc = 864, nwv = 76
  Cell 71696 (86, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 3308.823486, up = 10000000000.000000, down = 10000000000.000000
  Cell 72007 (87, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 3285.093262, up = 3308.823486, down = 10000000000.000000
