map size : (310, 291)Cycle 0: curT = 3355.612549, curPe = 4, nc = 0, nwv = 0
  Cell 72990 (140, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 362.211426, up = 400.000000, down = 10000000000.000000
  Cell 72061 (141, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 334.711304, up = 10000000000.000000, down = 362.211426
  Cell 73301 (141, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 334.711304, up = 362.211426, down = 10000000000.000000
  Cell 71752 (142, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 317.672455, up = 10000000000.000000, down = 334.711304
  Cell 73612 (142, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 317.672455, up = 334.711304, down = 10000000000.000000
  Cell 71443 (143, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 311.627380, up = 10000000000.000000, down = 317.672455
  Cell 73923 (143, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 311.627380, up = 317.672455, down = 10000000000.000000
  Cell 71134 (144, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 317.672455, up = 10000000000.000000, down = 311.627380
  Cell 74234 (144, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 317.672455, up = 311.627380, down = 10000000000.000000
  Cell 70825 (145, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 334.711304, up = 10000000000.000000, down = 317.672455
  Cell 74545 (145, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 335.316498, up = 317.672455, down = 10000000000.000000
  Cell 70516 (146, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 10000000000.000000, down = 334.711304

Cycle 9: curT = 3355.612549, curPe = 15, nc = 102, nwv = 14
  Cell 72678 (138, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 450.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72369 (139, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 410.894287, up = 10000000000.000000, down = 450.000000
  Cell 72989 (139, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 410.894287, up = 450.000000, down = 10000000000.000000
  Cell 72060 (140, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 381.025330, up = 10000000000.000000, down = 410.894287
  Cell 73300 (140, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 381.025330, up = 410.894287, down = 10000000000.000000
  Cell 71751 (141, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 360.578918, up = 10000000000.000000, down = 381.025330
  Cell 73611 (141, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 360.578918, up = 381.025330, down = 10000000000.000000
  Cell 71442 (142, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 349.867340, up = 10000000000.000000, down = 360.578918
  Cell 73922 (142, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 349.867340, up = 360.578918, down = 10000000000.000000
  Cell 71133 (143, 229): pot = 10000000000.000000, left = 10000000000.000000, right = 349.867340, up = 10000000000.000000, down = 349.867340
  Cell 74233 (143, 239): pot = 10000000000.000000, left = 10000000000.000000, right = 349.867340, up = 349.867340, down = 10000000000.000000
  Cell 70824 (144, 228): pot = 10000000000.000000, left = 10000000000.000000, right = 360.578918, up = 10000000000.000000, down = 349.867340
  Cell 74544 (144, 240): pot = 10000000000.000000, left = 10000000000.000000, right = 360.803497, up = 349.867340, down = 10000000000.000000
  Cell 70515 (145, 227): pot = 10000000000.000000, left = 10000000000.000000, right = 384.711304, up = 10000000000.000000, down = 360.578918
  Cell 74855 (145, 241): pot = 10000000000.000000, left = 10000000000.000000, right = 10000000000.000000, up = 360.803497, down = 10000000000.000000

Cycle 10: curT = 3355.612549, curPe = 15, nc = 117, nwv = 15
  Cell 72677 (137, 234): pot = 10000000000.000000, left = 10000000000.000000, right = 500.000000, up = 10000000000.000000, down = 10000000000.000000
  Cell 72368 (138, 233): pot = 10000000000.000000, left = 10000000000.000000, right = 459.810059, up = 10000000000.000000, down = 500.000000
  Cell 72988 (138, 235): pot = 10000000000.000000, left = 10000000000.000000, right = 459.810059, up = 500.000000, down = 10000000000.000000
  Cell 72059 (139, 232): pot = 10000000000.000000, left = 10000000000.000000, right = 427.971100, up = 10000000000.000000, down = 459.810059
  Cell 73299 (139, 236): pot = 10000000000.000000, left = 10000000000.000000, right = 427.971100, up = 459.810059, down = 10000000000.000000
  Cell 71750 (140, 231): pot = 10000000000.000000, left = 10000000000.000000, right = 404.705933, up = 10000000000.000000, down = 427.971100
  Cell 73610 (140, 237): pot = 10000000000.000000, left = 10000000000.000000, right = 404.705933, up = 427.971100, down = 10000000000.000000
  Cell 71441 (141, 230): pot = 10000000000.000000, left = 10000000000.000000, right = 390.223938, up = 10000000000.000000, down = 404.705933
  Cell 73921 (141, 238): pot = 10000000000.000000, left = 10000000000.000000, right = 390.223938, up = 404.705933, down = 10000000000.000000
